ID,Eesti keel,Inglise keel,Saksa keel,Vene keel,Soome keel,Seletus,,Kirjeldus
985,kohtpahteldamine,patching with putty,Lokalspachteln n,шпаклевание местное,paikkakittaus,pahteldusviis pinna üksikute suuremate lohkude täitmiseks,,
986,kokkukasvamata oks,"dead knot, black knot",toter Ast m,несросшийся сучок,kuiva oksa,"Oks, mis on vaadeldaval pinnal ümbritseva puiduga kokku kasvanud vähem kui 1/4 ulatuses oma ristlõike ümbermõõdust",,
987,kokkukasvanud oks,intergrown knot,zusammenwachsende Ast m,сросшийся сучок м,,Ümbritsreva puiduga rohkem kui 3/4 ulatuses ristlõike ümbermõõdust kokku kasvanud oks,,
988,kokkukuivamine,shrinkage,"Schwinden n, Abnehmen n",усушка,kutistuminen ,Puidu dimensioonide kahanemine seotud niiskuse vähenemisel,,
989,kokkuliimimine,"splicing, pasting",Zusammenkleben n,склеивание ср,yhteenliimaus,Pindadevahelise liimühenduse moodustamine,,
990,kokkutõmbumine,"shrinkage, shrink",Zusammenschrumpfen n,усадка ж,"kutistuma, pienentymä",Lineaarmõõtmete ja mahu vähenemine,,
991,kollaps,collapse,Zellkollaps m,коллапс,,Puidurakkude lamestumine või kõverdumine kuivatusel,,
992,kollerveski,kollergang,Kollergang m,бегуны мн,"kuulamylly, jyrämylly",Jahvatusseade materjali muljumiseks ja kulutamiseks jahvatuskausi põhjal veerevate massiivsete malmrullidega,,
993,kolme nukiga padrun,three-jaw chuck,Dreibacken[bohr]futter m,трёхкулачковый (сверлильный) патрон,kolmileukaistukka,"Kolme liikuva nukiga padrunpuuri jms,  treitooriku nii sise- kui välishaardeks  ja pöördemomendi ülekandmiseks ",,
994,kolmetrumliline lihvpink,triple drum sander,Dreiwalzenschleifmaschine f,шлифовальный станок трёхбарабанный (трёхцилиндровый) ,kolmirumpuinen hiomakone,"Kolme eri teralisusega lihvpaberiga kaetud trumliga lihvpink, mistagab pinnale soovitava kareduse ühe läbimiga",,
995,kolmkantviil,"triangle file, three square file",Dreiecksfeile f,напильник трёхгранный,kolmikulmaviila,Kolmnurkse ristlõikega viil,,
996,koltumine,yellowing,Vergilbung f,пожелтение с,kellastuminen,Pinnakatte värvustooni nihkumine väliskeskkonna mõjul kollas värvuse suunas,,
997,kolu,hopper,Trichter m,воронка,"suppilo, syöttökartio","Õõnes masinaosa materjali, toorikute etteandeks, näit raiemasinates",,
998,kombinatsioonviimistlus,combination finish,Kombinationsvergütung f,комбинированная отделка ж,yhdistelmä viimeistely,"Viimistlus, mille saamiseks on kasutatud mitut erinevat meetodit või materjali",,
999,"kombineeritud höövelduspaksus-, ketassaag-, frees- ja soonimismasin","combined circular saw, surfacer, moulder and slot mortiser","kombinierte Abrichtdickenhobel-, Kreissäge-, Fräs- und Langlochbohrmaschine f","комбинированнй фуговально-рейсмусовый, круглопильный, фрезерный исверлильно-пазовальный станок","yhdistetty saha-, höylä- ja jyrsinkone","Masin tisleritöödeks, kus on võimalikud riht- ja paksushöövelduse, saagimise, freesimise, puurimise ja soonimise operatsioonid",,
1000,kombineeritud kapp,fitrobe,Kombinatsioonschrank m,комбинированный шкаф,elementtirakenteinen kaappi,Erinevate funksioonidega osadest koosnev kapp.(riide-ja pesukapp),,
1001,"kombineeritud ketassaag-, frees- ja soonimismasin","combined circular saw, moulder and slot mortiser","kombinierte Kreissäge-, Fräs- und Langlochbohrmaschine f","комбинированнй круглопильный, фрезерный исверлильно-пазовальный станок","yhdistetty saha-, jyrsin-, ja porakone","Masin tisleritöödeks, kus on võimalikud saagimise, freesimise, puurimise ja soonimise operatsioonid",,
1002,kombineeritud liimpuit,composite glulam,Kompositleimholz n,композитная клеёная древесина ж,,"Tala, mille ristlõikes on sise- ja väliskihid erineva tugevusklassi ja puiduliigiga lamellidest",,
1003,kombineeritud pink,combination machine,kombinierte Werkzeugmaschine f,станок комбинированный,monitoimikone,"Puidutöötluspink, millel on mitu eraldi töövõlli erinevate operatsiooni-de sooritamiseks",,
1004,kombineeritud räsa?,raker set,kombinierte Schränkung f,развод комбинированный,yhdistelmäharitus,"Räsamisviis, mille puhul räsatud saehambad vahelduvad räsamata hammastega/saelindi eriräsa",,
1005,kombineeritud sedistamine,combined adjustment?,kombinierte Regulierung f?,настройка комбинированная,yhdistetty säätö, Tööpingi seadistamine erinevaid seadistusviise kasutades,,
1006,kompaktlaminaat,compact laminate,Kompakt-Schichtpressstoffplatte f,плотный ламинат м,,,,
1007,kompleksne mehhaniseerimine  ,complex mechanisation ,Vollmechanisierung f,кoмплeкcнaя мexaнизaция ,,"Mehhaniseerimise tase, mille puhul on kõik antud tsükli tööd mehhaniseeritud",,
1008,komplekt,"package set, range",Satz m,комплект м,"sarja, setti",Terviklik kogum ühte kuuluvaid esemeid,,
1009,komposiitkihtpuit,composite plywood,Verbundsperrholz n,композиционная слоистая древесина ж,yhdistelmälevy,"Kihtpuit, mille keskkiht (või teatud kihid) on valmistatud mõnest muust materjalist kui massiivpuit või spoon. Mõlemal pool keskkihti on vähemalt 2 ristsuunalist kihti",,
1010,komposiitpuit,structural composite lumber (SCL),Kompositholz n,композитная древесина ж,,"Spoonelementidest liimpuitmaterjal (LVL, PSL, LSL, OSL)  ",,
1011,kompressor,compressor,Kompressor m,компрессор,"kompressori, ahdin",Masin algrõhust vähemalt kaks korda suurema rõhuga surugaasi saamiseks,,
1012,kompressorseadmestik,compressor-device,Druckluftanlage f,пневматическая (компрессорна) станция,,Seadmestik gaasi rõhu suurendamiseks,,
1013,kondensaatoripaber,capacitor paper,Kondensatorpapier n,конденсаторная бумага ж,kondensaattoripaperi,Paberõlikondensaatorites dielektrikuna kasutatav paber,,
1014,kondensatsioonkuivatus,condensation drying,Kondensationtrocknung f,конденсационная сушка ж,,"Kuivatusmeetod, mille puhul materjalist aurunud niiskus eemaldatakse kuivatist kondensaadina",,
1015,kondensniiskust isoleeriv värv,anticondensation paint,Antikondensationsfarbe f,антиконденсацонная краска  ж,kosteuden tiivistymisen estomaali,"Minimaalse poorsusega värv, mis väldib kondensaatniiskuse tungimise ruumi",,
1016,kondiliim,bone glue,Knochenleim m,костный клей,luuliima,Kontidest eraldatud glutiinliim,,
1017,konditsioneerima,"condition, season",konditionieren,кондиционировать,"ilmastointi, ilman kosteuden ja lämpötilan säätäminen",Materjali omaduste viimine vastavusse kindlate kliimatingimustega,,
1018,konduktiivkuivatus,conductive drying,konduktive Trocknung f,кондуктивная сушка ж,,"Kuivatus, mille puhul toimub valdavalt konduktiivne soojusülekanne materjalile",,
1019,konduktiivniiskusmõõtur,conductance moisture meter,konduktiver Feuchtemesser m,кондуктивный влагомер ,,Puidu  elektrijuhtivuse mõõtmisel põhinev niiskusmõõtur,,
1020,konservant,preservative,"Schutzmittel n, Konservierungsmittel n",консервант м,"konservoimisaine, säilöntäaine, säilytysaine, preservatiivi",Bioloogilise vastupidavuse suurendamiseks lisatav antiseptikum,,
1021,konserveeritud puit,treated timber,konserviertes Holz n,консервированная древесина ж,"lahoestokäsitelty puutavara, impregnoitu puutavara",Antiseptikumiga immutatud puit,,
1022,konsistents,"body, consistency",Viskosität f,консистенция ж,"viskoosisuus, konsistenssi, koostumus,",Vedeliku viskoossus,,
1023,konsoollaud,console table,Konsoltisch m,"пристенный стол, стол-консоль",konsolipöytä,Konsoolselt seinale kinnitatav laud,,
1024,"konstruktiivne baas(pind), konstruktsioonibaas",construction base,Konstruktionbase f,конструкционная база,perustustaso,"Pndade, joonte ja punktide kogum, mille suhtes määratakse mõõtmete asend    toote joonisel",,
1025,konstruktsioonplaat,structural board,Bauplatte f,конструкционная плита ж,rakennuslevy,Ehituskonstruktsioonides kasutatav plaat,,
1026,kontaktkuumutus,contact heating,Kontaktheizung f,контактный нагрев,kontaktikuumennus ,Liimivuugi vms kuumutamine kuuma kontaktpinna abil,,
1027,kontaktliim,contact glue,Kontaktklebstoff m,контактный клей,kontaktiliima,Mittekuivavat elastomeeri sisaldav liim,,
1028,kontorilaud,"office table, executive desk",Kontortisch m,конторский стол,toimistopöytä,Lihtsa kujundusega kontoritöödeks sobiv laud.,,
1029,kontorimööbel,"office furniture, contract furniture",Kontormöbel n,конторская мебель,"konttorikalusteet, toimistokalusteet",Lihtsa kujundusega kontoritöödeks sobiv mööbel,,
1030,kontrollkaliiber,master ga(u)ge,"Prüflehre f, Kontrollehre f",контрольный калибр,normaalitulkki,Kaliiber teiste kaliibrite kontrollimiseks,,
1031,"kontroll-latt, kontrolljoonlaud",straightedge,Haarlineal n,поверочная линейка,"ohjausviivain, tarkastuslauta",Riist detailide pindade tasandilisuse kontrollimiseks,,
1032,kontrollmõõteriist,control gauge ,Überwachungsgerät n,кoнтpoльнo-измepитeльны пpибop ,,Vahend toodete mõõtmiseks ja kontrollimiseks,,
1033,kontrollplank,control plank,Referenzbohle f,,,"Objekt, mis imiteerib saematerjali sortimismasina mõõteseadmete poolt äratuntavaid puidu tunnuseid ning mis läbides sortimismasinat, võimaldab kontrollida masina kalibreeringut dünaamiliselt",,
1034,kontsentraator,concentrator,Konzentrator m,концентратор м,sakeutin,"Täiustatud aurutusaparaat, mis võimaldab tõsta musta leelise kontsentratsiooni tasemeni kuni 80%",,
1035,kontsentratsioonkasvav pinnakatmine,graded coating,konzentrationszunehmen der Oberflächendeckung f,нанесение с увеличением концентрации по слоям  ср,asteittainen pinnoitus,"Pinna katmine mitmes kihis, kusjuures iga järgmise kihi kuivainesisaldus kasvab",,
1036,kontuurtraat,,"Konturdraht m, Kantendraht",проволока контурная,rajalanka,"Pehme kandiga polstri püstvedrude kontuuri järgiv  jäme vasetatud terastraat, mis kinnitatakse vedrude külge klambrite või nööriga",,
1037,konveier,"conveyor, feeder",Förderer m,"транспортёр м, конвейер м",kuljetin,Transpordimasin lasti teisaldamiseks pideva vooluna,,
1038,konvektiivkuivatus,convection drying,Konvektionstrocknung f,конвективная сушка ж,ilmankiertokuivatus,"Kuivatus, mille puhul toimub valdavalt konvektiivne soojusülekanne kuivatatavale materjalile",,
1039,koobaspoor,bordered pit,"Hofpore f, Hoftüpfel m",окаймленная пора ж,rengashuokonen,Võlvunud siseruumi ja membraaniga  poorokaspuidu trahheiidi seinas,,
1040,kooldumine,curl,"Rollen n, Krümmen n",скручивание ср,käyristyminen,Paberi omadus kõverduda õhuniiskuse muutumisel,,
1041,koolimööbel,"school furniture, institutional furniture",Schulmöbel n,школьная мебель,koulukalusteet,"Eakohane, õpilaste kasvule vastavate mõõdetega mööbliesemed.",,
1042,koolipink,desk,Schulbank f,парта,"pulpetti, koulunpenkki",Pingist ja madalast kirjutuspuldist koosnev koolimööbliese,,
1043,koolutatus,camber,Krümmung f,изогнутость,"kallistus, kallistuma ",Toote ühesuunaline kõverus,,
1044,koondelisus,taper,Abholzigkeit f,сбежистость ж,kartiomaisuus,Läbimõõdu järkjärguline ühesuunaline muutus ümarpuidu pikisuunas,,
1045,koondoksad,knot cluster,Astansammlung f,групповые сучки м,ryhmäoksat,"Oksad, mis paiknevad selliselt, et naaberokste vahel kiudude normaalne suund ei ole taastunud.Tavaliselt peaks kaugus naaberokste vahel olema väiksem kui saematerjali laius või alla 150 mm, kui saematerjal on kitsam kui 150 mm",,
1046,"koone, koondelisus",taper,Abholzigkeit f,Степень сбежистости ж,"kartiomaisuus, kapeneminen",Läbimõõdu järkjärguline ühesuunaline muutus ümarpuidu pikisuunas,,
1047,kooniline (V-kujuline) otsakfrees,V-groove cutter,"V-förmige Nutfräser m, V-Nutfräser m",V-образная концевая фреза,V-muotoinen yläjyrsinterä,"Frees V-kujuliste soonte, kaldpindade jms freesimiseks",,
1048,kooniline otsak,"taper shank, conical shank",Kegelshaft m,конический хвостовик,"kartiokara, kartiokiinnitys",Koonusekujuliselt (Morse koonus)kujundatud freesi kinnitusotsak,,
1049,koonilisus,"taper, conicity","Keg(e)ligkeit f, Konizität f",конусообразность,kartiomaisuus,Silindrilise toote otste läbimõõdu erinevus,,
1050,koonusfrees,conical cutter,Konusfräser m,фреза коническая,kartiojyrsin,"Koonilise ristlõikega ots- või istamisavaga frees, mille lõikurid paiknevad koonuspinnal",,
1051,koonuslaupfrees,conical face router,konischer Stirnfräser m,торцово-коническая фреза,kartiojyrsin,Koonusekujulised lõikuritega mii koonus- kui otspinnal freesid palkide laupfreesimiseks,,
1052,koonusotsaga puur,through-hole boring bit,Durchgangsbohrer m,сверло для выполнения сквозных отверстий,läpivientipora,"Puur, mille lõikeservad paiknevad pöörlemisteljega teravnurga all läbivate avade puurimiseks",,
1053,koonussaeketas,conical saw blade,konisches Kreissägeblatt n,"полотно пилы, коническая",kartiopyörösahanterä,"Saeketas, mis õhema perifeerse osa tõttu annab kitsama saetee",,
1054,koor,bark,Rinde f,кора ж,puunkuori,Kaitsefunktsiooniga puutüve väliskiht,,
1055,koordinaadid,coordinates,Koordinaten,координаты,koordinaatid,"Numbrid, mis näitavad X-,Y-ja Z-telje abil objekti asetust ruumis ????",,
1056,koordumine,"sealing, peeling",Entrindung f,отслаивание ср,,Viimistluskatte või selle osa lahtitulek aluspinnalt,,
1057,koorealune mõõde,inside bark measure,Maß n ohne Rinde,размер без коры,"mitta kuoren alta, (kuoretta mitta)","Kasutatakse selgituseks, et mõõtmistulemus ei sisalda koore paksust",,
1058,koorepealne mõõde,over bark size,Maß n mit Rinde,размер м с корой,mitta kuoren päältä,"Kasutatakse selgituseks, et mõõtmistulemus sisaldab ka puidukoore paksust",,
1059,koorepesa,bark pocket,Rindeneinwuchs,прорость  ж,kaarnaroso,"Koor, mis paikneb täielikult või osaliselt puidus",,
1060,koorepress,bark press,Rindenpresse f,короотжимной пресс м,kuoripuristin,Seade puidust eraldatud koorest vee väljapressimiseks,,
1061,koorepress,bark press,Rindenpresse f,короотжимный пресс м,kuoripuristin,Press puukoorest vee väljapressimiseks,,
1062,koorepurusti,"bark shredder, bark crusher",Rindenzerhackmaschine f,кородробилка ж,kuorenrepijä,Seade puukoore peenestamiseks,,
1063,kooreürask,beetle,Käfer m,короед,kaarnakuoriainen,Kasvava puu kahjur,,
1064,koorikuvastane aine,antiskinning agent,Hautvermeidungsstoff m,антикорковая добавка ж,nahkoittumisen estoaine,"Aine, mis vähendab lahusti aurustumist takistava kooriku teket viimistluskelme pinnal",,
